mw,s
603.6854460094,13.020258318
612.117370892,12.6066487429
629.9291885435,11.7155280166
640.0075839653,12.5422487531
644.3517515349,14.1573051744
647.7908992416,10.4667731527
651.6825568797,12.6654472386
652.6804178126,11.9203627263
666.5730886071,10.5519479961
669.8436258577,9.7675717842
669.2968580715,10.6627251041
670.7756711207,8.936419696
670.8913798372,9.2771333354
671.2225833634,9.5458452676
674.059588299,10.9841834439
680.8699891658,12.247414385
682.4485651582,11.7768009131
720.4351751535,9.1216616303
686.4102564103,8.9635932481
560.5128205128,16.7768378015
507.1794871795,18.2366403832
577.4358974359,14.9538975527
593.0769230769,15.2448992465
600.5128205128,15.5817580749
603.7179487179,16.1192266807
603.7179487179,16.6021423982
586.7948717949,15.7462671573
588.5897435897,16.110666433
578.2051282051,16.5575141639
579.1025641026,17.0950668769
572.9487179487,17.2593002745
567.3076923077,17.9155423165
556.1538461538,17.8157210443
533.7179487179,20.5682471818
541.1538461538,20.959775714
553.9743589744,21.0048665382
553.8461538462,21.3875591379
563.9743589744,21.2596273582
569.358974359,21.4781099235
565.5128205128,21.7242637696
553.3333333333,19.7839331815
561.1538461538,19.4829647801
558.3333333333,19.9295368261
561.7948717949,19.8747409614
564.6153846154,19.9293078675
563.3333333333,20.0386940015
566.7948717949,20.0659026926
570.2564102564,19.9108790374
571.2820512821,20.0384042988
578.8461538462,20.3388119853
580.1282051282,20.7943461246
578.7179487179,19.6736685941
573.0769230769,19.4460837568
573.0769230769,19.0087261258
579.1025641026,18.9538368086
573.4615384615,17.8788715612
571.7948717949,18.0976111208
570.5128205128,18.152327551
570.7692307692,18.3801086385
571.0256410256,18.489438701
569.7435897436,18.7081642427
569.4871794872,18.9632988727
587.9487179487,17.6141066526
