date,station,DOC ,k ,R2 ,Sample Size ,% Loss
41796,T1 ,207,2.89,0.64,21,8.7
41796,T2 ,388,4.67,0.77,21,12.5
41796,T3 ,450,5.77,0.76,21,15.9
41796,T4 ,340,4.1,0.83,21,9.1
41796,T5 ,244,3.14,0.86,21,2.8
41796,T6 ,403,4.98,0.79,21,9.1
41796,T7 ,486,6.06,0.7,21,20.5
41796,T8 ,345,4.23,0.76,21,8.3
41796,T9 ,149,2.14,0.77,24,1.5
41957,T1 ,207,2.94,0.56,21,5.8
41957,T2 ,179,1.94,0.37,21,9.7
41957,T3 ,147,1.57,0.21,21,17.7
41957,T4 ,157,1.16,0.12,21,16.3
41957,T5 ,188,2.1,0.56,21,7.5
41957,T6 ,182,1.34,0.1,21,23.3
41957,T7 ,138,1.06,0.03,21,17
41957,T8 ,161,1.45,0.2,21,8.1
41957,T9 ,196,2.2,0.6,21,10.3
42221,T1 ,310,8.3,0.84,18,5.9
42221,T2 ,163,7.19,0.83,18,12.2
42221,T3 ,264,8.43,0.91,18,5.3
42221,T4 ,1066,5.46,0.82,18,4.8
42221,T5 ,348,7.86,0.74,18,6
42221,T6 ,164,6.68,0.92,18,3.7
42221,T7 ,274,9.56,0.66,18,6.1
42221,T8 ,870,6.87,0.86,18,6.7
42221,T9 ,343,8.3,0.9,18,8.6
