sample_id,doc,salinity,latitude,longitude,absorption,wavelength,date
Ori 3 a15 0 m,130.2,31.6,11.46667,61.78333,4.139,300,Sep-95
Ori 3 a15 10 m,114,32.7,11.46667,61.78333,3.26,300,Sep-95
Ori 3 a15 20 m,98,34.8,11.46667,61.78333,0.569,300,Sep-95
Ori 3 a15 50 m,94.5,36.5,11.46667,61.78333,0.508,300,Sep-95
Ori 3 a15 75 m,110.5,37,11.46667,61.78333,1.148,300,Sep-95
Ori 3 a15 100 m,70.3,36.8,11.46667,61.78333,0.279,300,Sep-95
Ori 3 a15 125 m,74.6,36.8,11.46667,61.78333,0.773,300,Sep-95
Ori 3 a15 150 m,64.1,36.8,11.46667,61.78333,0.633,300,Sep-95
Ori 3 b15 0 m,100.3,31.9,11.7,61.76667,3.735,300,Sep-95
Ori 3 b17 0 m,119.6,33.1,11.76667,61.81667,2.808,300,Sep-95
Ori 3 f1 5 m,108.2,29.5,11.96667,61.81667,1.103,300,Sep-95
Ori 3 f1 10 m,72.9,29.5,11.96667,61.81667,1.318,300,Sep-95
Ori 3 f2 5 m,147.4,31,11.93333,61.83333,2.617,300,Sep-95
Ori 3 f3 5 m,124.6,29.7,11.9,61.83333,3.382,300,Sep-95
Ori 4 c2 0 m,276.1,24.4,10.73333,61.8,7.78,300,Oct-96
Ori 4 c3 0 m,175.9,29.1,11.2,61.81667,4.427,300,Oct-96
Ori 4 c4 0 m,148.1,,11.83333,61.81667,4.567,300,Oct-96
Ori 4 c5 0 m,118.2,32.2,12.03333,62.28333,2.086,300,Oct-96
Ori 4 c8 0 m,115.4,33.6,13.96667,63.91667,1.386,300,Oct-96
Ori 4 c9 0 m,150.4,32.7,14.65,64.5,1.594,300,Oct-96
Ori 4 c10 0 m,108.7,33.7,15.06667,64.83333,0.933,300,Oct-96
Ori 4 c12 0 m,127.6,33.6,16.6,66.15,1.486,300,Oct-96
Ori 4 c13 0 m,134.2,33.7,17.6,67,1.049,300,Oct-96
Ori 4 g1 0 m,230.2,20,10.36667,61.58333,7.689,300,Oct-96
Ori 4 g2 0 m,150.2,19.7,10.6,61.7,6.95,300,Oct-96
Ori 4 g3 0 m,211.5,22.1,10,61.93333,9.025,300,Oct-96
