location,latitude,longitude,sample,doc,a340
West Falmouth Harbor,41.606,-70.652,WF01,127.58,0.921
West Falmouth Harbor,41.605,-70.645,WF02,107.27,2.672
West Falmouth Harbor,41.598,-70.647,WF03,71.84,4.284
West Falmouth Harbor,41.604,-70.639,WF04,133.93,3.316
West Falmouth Harbor,41.607,-70.636,WF05,113.06,2.81
West Falmouth Harbor,41.616,-70.632,WF06,60.67,2.349
West Falmouth Harbor,41.596,-70.639,WF07,161.92,4.007
West Falmouth Harbor,41.598,-70.649,WF08,199.71,3.362
West Falmouth Harbor,41.606,-70.652,WF09,175.82,3.915
West Falmouth Harbor,41.605,-70.645,WF10,172.46,3.316
West Falmouth Harbor,41.599,-70.643,WF11,155.63,3.685
West Falmouth Harbor,41.604,-70.639,WF12,145.06,3.501
West Falmouth Harbor,41.609,-70.637,WF13,174.74,5.067
Barnegat Bay,40.066,-74.131,BB01,446.33,0.967
Barnegat Bay,40.058,-74.066,BB02,420.15,6.31
Barnegat Bay,39.949,-74.163,BB03,405.19,8.199
Barnegat Bay,39.951,-74.113,BB04,338.07,6.356
Barnegat Bay,39.821,-74.203,BB05,249.74,3.685
Barnegat Bay,39.797,-74.181,BB06,280.03,3.132
Barnegat Bay,39.577,-74.331,BB07,361.45,4.79
Barnegat Bay,39.964,-74.097,BB08,412.62,6.218
Barnegat Bay,40.03,-74.08,BB09,527.28,11.193
Barnegat Bay,40.053,-74.058,BB10,408.48,6.587
Barnegat Bay,40.044,-74.056,BB11,445.79,6.725
Barnegat Bay,39.643,-74.245,BB12,327.40,6.034
Barnegat Bay,39.632,-74.219,BB13,220.15,2.625
Barnegat Bay,39.637,-74.262,BB14,581.80,14.463
Barnegat Bay,39.604,-74.26,BB15,231.45,14.97
Barnegat Bay,39.509,-74.325,BB16,207.87,3.27
