sampling_site,latitude,longitude,a280,a355,a440,doc
0,31.530961,120.217278,26.64,5.28,1.44,18.31
1,31.522678,120.189099,24.82,5.88,1.84,16.26
2,31.408302,120.208047,17.39,4.09,1.19,11.57
3,31.48254,120.184726,22.99,5.6,1.69,13.99
4,31.44064,120.179868,21.89,5.34,1.6,12.63
5,31.406228,120.179382,22.85,6.03,1.97,13.56
6,31.500726,120.134683,33.46,7.9,2.44,20.19
7,31.30524,120.167007,15.94,3.36,0.8,10.26
8,31.206975,120.155089,11.28,2.42,0.65,8.75
9,31.512324,120.253231,28.95,6.21,1.75,19.03
K1,31.400837,120.213391,17.39,4.13,1.25,11.17
K2,31.400837,120.213391,18.2,4.4,1.29,10.93
K3,31.400837,120.213391,18.26,4.41,1.25,9.93
K4,31.400837,120.213391,19.45,5.08,1.68,10.79
K5,31.400837,120.213391,18.15,4.37,1.33,10.83
K6,31.400837,120.213391,17.6,4.2,1.22,11.37
