study_id,month,year,ecosystem,depth,salinity,a300,doc,doc_unit,filter_size
osburn2010,8,2006,Southern Baltic Sea,1,7.38,4.84,312,µmol/l,0.2
osburn2010,9,2006,Southern Baltic Sea,1,7.95,4.69,320,µmol/l,0.2
osburn2010,2,2007,Southern Baltic Sea,1,8.91,4.64,297,µmol/l,0.2
osburn2010,8,2006,Kattegat,5,21.81,3.24,261,µmol/l,0.2
osburn2010,9,2006,Kattegat,1,22.44,3.28,212,µmol/l,0.2
osburn2010,9,2006,Kattegat,79.8,34.94,0.87,87,µmol/l,0.2
osburn2010,10,2006,Kattegat,1,21.07,3.42,253,µmol/l,0.2
osburn2010,10,2006,Kattegat,75.5,34.35,1.28,117,µmol/l,0.2
osburn2010,2,2007,Kattegat,10,28.71,2.59,217,µmol/l,0.2
osburn2010,2,2007,Kattegat,77,33.87,1.66,107,µmol/l,0.2
osburn2010,8,2006,Kattegat,1,18.58,3.51,229,µmol/l,0.2
osburn2010,8,2006,Kattegat,46.6,32.38,2.11,112,µmol/l,0.2
osburn2010,9,2006,Kattegat,1,21.06,3.14,253,µmol/l,0.2
osburn2010,9,2006,Kattegat,45,31.43,2,123,µmol/l,0.2
osburn2010,10,2006,Kattegat,30,29.68,2.12,144,µmol/l,0.2
osburn2010,2,2007,Kattegat,5,23.98,3.39,189,µmol/l,0.2
