type,longitude,latitude,sample_id,salinity,temperature,depth,doc
Brines,63.8727777777778,54.1547222222222,061013shf,73,-4.3,42,580.827745501009
Brines,63.8727777777778,54.1547222222222,061013she,71.5,-4.3,37,970.419729054738
Brines,64.39,52.8977777777778,061012she,111,-6.7,52,363.613436637122
Brines,64.39,52.8977777777778,061012shd,112.5,-6.7,60,349.20198737897
Brines,64.39,52.8977777777778,061012shc,111.5,-6.7,48,374.33266318853
Brines,64.1902777777778,54.4047222222222,061011shf,86.5,-5.2,28,117.56482422456
Brines,64.1902777777778,54.4047222222222,061011she,88.5,-5.2,28,122.24387314062
Brines,64.1902777777778,54.4047222222222,061011shd,88,-5.3,25,113.644740791359
Brines,64.1902777777778,54.4047222222222,061011shc,88,-5.1,27,124.725329022343
Brines,64.1902777777778,54.4047222222222,061011shb,84.5,-4.9,38,156.805224052214
Brines,64.1902777777778,54.4047222222222,061011sha,87.5,-5.4,16,175.314555188321
Brines,NA,NA,061010she,104.5,-6.3,39,196.705941177416
Brines,NA,NA,061010shd,111,-6.1,35,332.481055926461
Brines,NA,NA,061010shc,103,-6.3,37,242.169562666078
Brines,NA,NA,061010shb,105,-6.2,41,324.33718273822
Brines,65.0536111111111,57.3508333333333,061009shf,95,-5.9,57,215.15488604119
Brines,65.0536111111111,57.3508333333333,061009she,93,-5.8,59,199.942808694209
Brines,65.0536111111111,57.3508333333333,061009shd,93,-5.7,62,183.688901453366
Brines,65.0536111111111,57.3508333333333,061009shb,96,-5.9,46,217.787705213522
Brines,65.0536111111111,57.3508333333333,061009sha,96.5,-5.8,50,209.391886346297
Brines,65.1158333333333,57.4011111111111,061008shb,98,-6,30,202.809798634741
Brines,64.7319444444445,57.3408333333333,061005shf,109,-6.7,60,276.578396812668
Brines,64.7319444444445,57.3408333333333,061005she,112,-6.9,60,270.394656352866
Brines,64.7319444444445,57.3408333333333,061005shd,112.5,-6.9,56,302.002879507289
Brines,64.3002777777778,54.5836111111111,061003shc,131,-8.7,49,257.781761369841
Brines,64.3002777777778,54.5836111111111,061003sha,130,-8.3,51,243.027051165293
Brines,63.6697222222222,53.8747222222222,061002shf,104,-6.4,65,450.208105675743
Brines,63.6697222222222,53.8747222222222,061002shc,110.5,-6.8,50,514.883240836554
Brines,63.6697222222222,53.8747222222222,061002shb,110,-6.9,52,497.576564346435
Brines,62.8375,52.4258333333333,061001she,104.5,-6.4,52,260.204408144824
Brines,62.8375,52.4258333333333,061001shc,105,-6.3,48,256.468701299333
Brines,62.8375,52.4258333333333,061001shb,106.5,-6.3,48,296.021058849114
Brines,62.1722222222222,50.5805555555556,060930shf,87,-4.9,NA,259.960207318897
Brines,62.1722222222222,50.5805555555556,060930shd,83.5,-5.1,39,274.507301536854
Brines,62.1722222222222,50.5805555555556,060930shb,84.5,-5,47,280.895584751933
Brines,61.7094444444444,49.1222222222222,060928shb,86,-5.2,51,241.585305936223
Brines,61.1852777777778,48.9030555555556,060926shf,84,-5,NA,641.752163307505
Brines,60.7591666666667,48.3313888888889,060924shd,74,-4.6,37,385.165330970386
Brines,60.7591666666667,48.3313888888889,060924shc,82.5,-5.1,32,471.46161385767
Brines,59.8347222222222,48.0916666666667,060922sh,72,-4.5,186,326.861365274871
Brines,60.2986111111111,48.0041666666667,060921shb,103.5,-6.3,29,193.999768320737
Brines,60.3363888888889,49.5008333333333,060920shf,102.5,-6,23,179.814613229209
Brines,60.3363888888889,49.5008333333333,060920shd,92,-5.1,39,149.358392372164
Brines,60.3363888888889,49.5008333333333,060920sha,90,-5.7,42,137.423913277073
Brines,60.6397222222222,42.6105555555556,060910shd,70.2,-4.5,57,132.678576118953
Brines,60.6397222222222,42.6105555555556,060910shc,70,-4.2,54,155.244460552361
Brines,60.6397222222222,42.6105555555556,060910sha,76.4,-4.6,40,174.798319997618
Brines,60.6088888888889,41.6272222222222,060909shd,58.3,-3.6,62,180.346951372843
Brines,60.4738888888889,40.8169444444444,060908shd,84.4,-4.9,35,176.128752700003
Brines,60.4738888888889,40.8169444444444,060908shc,84.2,-5,36,180.847914650038
Brines,60.4738888888889,40.8169444444444,060908sha,81.4,-5.1,39,129.768416293409
